input,fft(real),fft(imaginary),ifft(real),ifft(imaginary)
0.0196078,0.52549,-5.23782e-011,0.0196078,-3.33654e-009
0.0588235,4.57282,5.11435,0.0588235,-3.60515e-009
0.0901961,8.37026,3.57262,0.0901961,-3.78147e-009
0.129412,8.70724,2.10144,0.129412,-3.87409e-009
0.160784,8.64626,1.64929,0.160784,-3.88288e-009
0.192157,8.85747,1.44298,0.192157,-3.91669e-009
0.231373,8.89564,1.23732,0.231373,-3.86944e-009
0.262745,9.03379,0.958156,0.262745,-3.77093e-009
0.294118,8.86211,0.84194,0.294118,-3.64072e-009
0.32549,8.84607,0.954099,0.32549,-3.45186e-009
0.34902,9.25104,0.922305,0.34902,-3.27256e-009
0.380392,9.09202,0.379543,0.380392,-3.08775e-009
0.403922,8.77193,0.755155,0.403922,-2.84499e-009
0.427451,9.32776,0.611482,0.427451,-2.59952e-009
0.45098,8.80381,0.473614,0.45098,-2.35248e-009
0.47451,9.34291,0.589471,0.47451,-2.03558e-009
0.490196,8.8338,0.327159,0.490196,-1.69011e-009
0.505882,9.17924,0.552253,0.505882,-1.36634e-009
0.521569,9.03857,0.439007,0.521569,-1.04575e-009
0.537255,9.16713,0.269344,0.537255,-7.00917e-010
0.545098,8.90511,0.465882,0.545098,-3.14401e-010
0.552941,9.30363,0.359272,0.552941,4.22207e-011
0.560784,8.85803,0.175662,0.560784,4.03657e-010
0.568627,9.25323,0.56176,0.568627,7.88627e-010
0.568627,8.90246,-0.0350087,0.568627,1.18705e-009
0.568627,9.10735,0.674491,0.568627,1.5914e-009
0.568627,9.11399,0.0867292,0.568627,1.99068e-009
0.560784,9.12585,0.271742,0.560784,2.37902e-009
0.552941,8.81231,0.307375,0.552941,2.72882e-009
0.545098,9.31321,0.395849,0.545098,3.08485e-009
0.537255,9.04571,0.066961,0.537255,3.48188e-009
0.521569,8.80222,0.365824,0.521569,3.86921e-009
0.505882,9.43516,0.416707,0.505882,4.20263e-009
0.490196,8.84203,0.00837707,0.490196,4.55321e-009
0.466667,9.16549,0.459184,0.466667,4.85516e-009
0.45098,9.13341,0.226112,0.45098,5.16472e-009
0.427451,9.01817,0.158877,0.427451,5.48355e-009
0.403922,9.29805,0.4263,0.403922,5.78197e-009
0.372549,8.90915,-0.0877666,0.372549,6.02073e-009
0.34902,9.21415,0.517138,0.34902,6.26332e-009
0.317647,9.03204,0.10776,0.317647,6.48483e-009
0.286275,9.29647,0.196362,0.286275,6.66837e-009
0.254902,8.89176,0.196509,0.254902,6.81329e-009
0.223529,9.20268,0.290971,0.223529,6.95188e-009
0.192157,9.28966,0.186778,0.192157,7.08265e-009
0.160784,8.84993,-0.0288175,0.160784,7.2076e-009
0.121569,9.19239,0.553354,0.121569,7.28743e-009
0.0901961,9.26685,0.052212,0.0901961,7.32441e-009
0.0509804,9.04456,0.0689937,0.0509804,7.35557e-009
0.0196078,9.07835,0.392747,0.0196078,7.33751e-009
-0.0196078,9.27368,0.0722839,-0.0196078,7.32264e-009
-0.0588235,9.10444,0.150861,-0.0588235,7.25576e-009
-0.0901961,9.02517,0.194745,-0.0901961,7.1803e-009
-0.129412,9.26588,0.225572,-0.129412,7.08176e-009
-0.160784,9.11424,0.128877,-0.160784,6.93158e-009
-0.192157,9.10551,0.103181,-0.192157,6.79466e-009
-0.231373,9.15693,0.310273,-0.231373,6.6208e-009
-0.262745,9.15342,0.0185729,-0.262745,6.3971e-009
-0.294118,9.09489,0.297668,-0.294118,6.15101e-009
-0.317647,9.20619,0.145797,-0.317647,5.89073e-009
-0.34902,9.16972,0.171471,-0.34902,5.66217e-009
-0.380392,9.17099,0.136765,-0.380392,5.3782e-009
-0.403922,9.07268,0.169735,-0.403922,5.0636e-009
-0.427451,9.29066,0.318683,-0.427451,4.74313e-009
-0.45098,9.25892,-0.100454,-0.45098,4.43076e-009
-0.47451,8.87754,0.243708,-0.47451,4.05373e-009
-0.490196,9.40306,0.342609,-0.490196,3.6548e-009
-0.505882,9.19787,-0.052546,-0.505882,3.27907e-009
-0.521569,9.05598,0.19476,-0.521569,2.9118e-009
-0.537255,9.20618,0.271857,-0.537255,2.50746e-009
-0.545098,9.29163,0.172912,-0.545098,2.11625e-009
-0.560784,9.25402,0.0484186,-0.560784,1.69242e-009
-0.560784,9.04178,0.211283,-0.560784,1.25834e-009
-0.568627,9.44155,0.275331,-0.568627,8.45226e-010
-0.568627,9.31916,-0.0912329,-0.568627,4.23441e-010
-0.568627,9.01688,-0.0144265,-0.568627,1.34923e-011
-0.568627,9.08834,0.270103,-0.568627,-4.19132e-010
-0.560784,9.25983,0.357505,-0.560784,-8.3449e-010
-0.560784,9.59421,-0.0984494,-0.560784,-1.24717e-009
-0.545098,8.84249,-0.132921,-0.545098,-1.64476e-009
-0.537255,8.82263,0.188817,-0.537255,-2.03574e-009
-0.521569,9.06262,1.08398,-0.521569,-2.4463e-009
-0.505882,10.2402,0.311911,-0.505882,-2.79803e-009
-0.490196,9.7918,-0.44109,-0.490196,-3.15331e-009
-0.47451,8.89585,-0.704481,-0.47451,-3.50783e-009
-0.45098,8.67026,0.288187,-0.45098,-3.87244e-009
-0.427451,9.23932,0.464077,-0.427451,-4.17216e-009
-0.403922,9.48861,-0.00905106,-0.403922,-4.44204e-009
-0.380392,9.04709,0.0351162,-0.380392,-4.72539e-009
-0.34902,9.1518,0.210056,-0.34902,-4.99625e-009
-0.32549,9.36681,0.240761,-0.32549,-5.2235e-009
-0.294118,9.24086,0.0109244,-0.294118,-5.45654e-009
-0.262745,9.23489,0.151576,-0.262745,-5.66525e-009
-0.231373,9.27901,0.141826,-0.231373,-5.84522e-009
-0.192157,9.21061,0.0403438,-0.192157,-5.99095e-009
-0.160784,9.25101,0.229214,-0.160784,-6.07072e-009
-0.129412,9.22273,0.0608073,-0.129412,-6.185e-009
-0.0901961,9.2398,0.343025,-0.0901961,-6.24142e-009
-0.0588235,9.58717,0.0483055,-0.0588235,-6.28613e-009
-0.0196078,9.00243,-0.0600252,-0.0196078,-6.28186e-009
0.0117647,9.41397,0.325227,0.0117647,-6.26971e-009
0.0509804,9.16612,0.0564703,0.0509804,-6.26052e-009
0.0901961,9.4648,0.13601,0.0901961,-6.18596e-009
0.121569,9.09058,0.191282,0.121569,-6.07296e-009
0.152941,9.52814,0.0837886,0.152941,-5.98078e-009
0.192157,9.16539,0.175342,0.192157,-5.84875e-009
0.223529,9.39589,0.0741684,0.223529,-5.65997e-009
0.254902,9.27498,0.126202,0.254902,-5.49334e-009
0.286275,9.21729,0.24532,0.286275,-5.29566e-009
0.317647,9.5635,0.0414062,0.317647,-5.05123e-009
0.34902,9.02096,0.205691,0.34902,-4.77152e-009
0.372549,9.6229,0.181692,0.372549,-4.49817e-009
0.403922,9.14052,0.0942776,0.403922,-4.23129e-009
0.427451,9.50757,0.323728,0.427451,-3.89724e-009
0.45098,9.43973,-0.100952,0.45098,-3.56052e-009
0.466667,9.14172,0.311537,0.466667,-3.22942e-009
0.490196,9.6272,0.122969,0.490196,-2.85696e-009
0.505882,9.32748,0.113615,0.505882,-2.47998e-009
0.521569,9.31638,-0.0111377,0.521569,-2.10383e-009
0.537255,9.37507,0.477903,0.537255,-1.70379e-009
0.545098,9.65916,-0.178342,0.545098,-1.29863e-009
0.552941,9.03163,0.20661,0.552941,-9.17474e-010
0.560784,9.6867,0.286312,0.560784,-4.94439e-010
0.568627,9.28544,-0.0745997,0.568627,-7.32273e-011
0.568627,9.4336,0.309227,0.568627,3.36241e-010
0.568627,9.4392,0.0788647,0.568627,7.45959e-010
0.568627,9.43924,0.132013,0.568627,1.18068e-009
0.560784,9.38371,0.198589,0.560784,1.61171e-009
0.552941,9.49185,0.130877,0.552941,1.9973e-009
0.545098,9.44511,0.187854,0.545098,2.37935e-009
0.537255,9.47652,0.17952,0.537255,2.74785e-009
0.521569,9.58335,0.0491999,0.521569,3.13638e-009
0.505882,9.25285,0.223423,0.505882,3.51039e-009
0.490196,9.79166,0.167127,0.490196,3.85413e-009
0.47451,9.22199,-0.0175311,0.47451,4.23652e-009
0.45098,9.60121,0.450034,0.45098,4.56282e-009
0.427451,9.7084,-0.062235,0.427451,4.85817e-009
0.403922,9.30741,0.0745406,0.403922,5.13292e-009
0.380392,9.56758,0.290594,0.380392,5.42953e-009
0.34902,9.5825,0.0827292,0.34902,5.67035e-009
0.32549,9.56576,0.169078,0.32549,5.88914e-009
0.294118,9.51106,0.041321,0.294118,6.11677e-009
0.262745,9.636,0.360723,0.262745,6.32926e-009
0.231373,9.7556,-0.23534,0.231373,6.50098e-009
0.192157,9.26037,0.142074,0.192157,6.63417e-009
0.160784,9.63054,0.230771,0.160784,6.72964e-009
0.129412,9.67913,-0.0234523,0.129412,6.82111e-009
0.0901961,9.29598,0.157899,0.0901961,6.87489e-009
0.0588235,9.82907,0.16005,0.0588235,6.90995e-009
0.0196078,9.36391,0.0593157,0.0196078,6.91865e-009
-0.0117647,9.78687,0.11548,-0.0117647,6.90642e-009
-0.0509804,9.31225,-0.0288382,-0.0509804,6.8767e-009
-0.0823529,9.5733,0.34971,-0.0823529,6.80902e-009
-0.121569,9.65323,0.0467698,-0.121569,6.71092e-009
-0.152941,9.43377,0.144201,-0.152941,6.60936e-009
-0.192157,9.54215,0.309015,-0.192157,6.47954e-009
-0.223529,9.67578,0.228606,-0.223529,6.26836e-009
-0.254902,9.6304,0.277433,-0.254902,6.08526e-009
-0.286275,9.65369,0.0828635,-0.286275,5.88057e-009
-0.317647,9.53796,0.592278,-0.317647,5.64647e-009
-0.34902,10.063,0.246219,-0.34902,5.36886e-009
-0.372549,10.0417,0.337939,-0.372549,5.08284e-009
-0.403922,10.1551,-0.330451,-0.403922,4.78356e-009
-0.427451,9.64503,-0.340393,-0.427451,4.46371e-009
-0.45098,9.24961,-0.0357144,-0.45098,4.12829e-009
-0.466667,9.61773,0.300837,-0.466667,3.79197e-009
-0.490196,9.79728,0.312582,-0.490196,3.41952e-009
-0.505882,9.84227,-0.244397,-0.505882,3.04105e-009
-0.521569,9.29868,0.212704,-0.521569,2.66152e-009
-0.537255,9.83622,0.457386,-0.537255,2.26006e-009
-0.545098,9.94202,-0.113317,-0.545098,1.85782e-009
-0.552941,9.4672,0.302154,-0.552941,1.45835e-009
-0.560784,9.90324,0.0675146,-0.560784,1.04521e-009
-0.568627,9.74362,0.500037,-0.568627,6.24185e-010
-0.568627,10.1106,-0.210344,-0.568627,2.04207e-010
-0.568627,9.59072,0.204066,-0.568627,-1.95335e-010
